err_sentence,cor_sentence,error_point,error_type
그와중에 시계 저거 저도 있는디,그 와중에 시계 저거 저도 있는데.,,
잇다면 어떤문재인지 궁금합니다.,있다면 어떤 문제인지 궁금합니다.,,
얼마남지안은시간에 쪼끔 건너뛰면서 들으려고합니다.,얼마 남지 않은 시간에 조금 건너뛰면서 들으려고 합니다.,,
노벨상의발견을 기리는문구들을 무지를 정재하는과학에붙여읽는게맞나요?,노벨상의 발견을 기리는 문구들을 무지를 정제하는 과학에 붙여 읽는 게 맞나요?,,
학교 계단 올라갈떄마다 무릎에서 뼈 소리같은게나더라고요,학교 계단 올라갈 때마다 무릎에서 뼈 소리 같은 게 나더라고요.,,
딲히 불편한 점은 없을겁니다,딱히 불편한 점은 없을 겁니다.,,
이미 사회는 변해 가구 잇다.,이미 사회는 변해 가고 있다.,,
작년에시험지를 구매한학생임니다.,작년에 시험지를 구매한 학생입니다.,,
재가 생각하구잇는거이 맞나요?,제가 생각하고 있는 것이 맞나요?,,
근데이재의사라는 직종 자체가이재 레드오션 갗아서리...,근데 이제 의사라는 직종 자체가 이제 레드오션 같아서리...,,
복습을하다가 햇갈리는부분이잇어서질문을드리는데요...,복습을 하다가 헷갈리는 부분이 있어서 질문을 드리는데요...,,
내신 챙긴다고 쫌 안했더니 그새 떨어지네요,내신 챙긴다고 좀 안 했더니 그새 떨어지네요.,,
도대체다음 강이 언재 올라오나요?,도대체 다음 강의 언제 올라오나요?,,
공부게시판에 먹는거 올리면 제 기분이 안좋아지죠,공부 게시판에 먹는 거 올리면 제 기분이 안 좋아지죠.,,
넌 걍 여기 낄 수준아니다,넌 그냥 여기 낄 수준 아니다.,,
비대면이라가지를 못 하구잇네요,비대면이라 가지를 못하고 있네요.,,
화학재밌지만 수능은 실습니다,화학 재밌지만 수능은 싫습니다.,,
자체문항이라 그런지 가격이 상당하내요,자체 문항이라 그런지 가격이 상당하네요.,,
돈이랑 시간만 날린건데 면접도 최선을 다하긴 해야하지만 붙을지 아닐지도 모르는데 거기에 다 걸기엔 너무 좀 그래,"돈이랑 시간만 날린 건데, 면접도 최선을 다하긴 해야 하지만, 붙을지 아닐지도 모르는데 거기에 다 걸기엔 너무 좀 그래.",,
목표는 본인 역량껏 잡다.,목표는 본인 역량 것 잡다.,,
많은학생들이선생님을 기다리고 응원하고있따는곳을 꼭 기억하시고 책임감있게 행동하시길바랍니다.,많은 학생들이 선생님을 기다리고 응원하고 있다는 것을 꼭 기억하시고 책임감 있게 행동하시길 바랍니다.,,
교과서만의 장점이잇다구 느껴서구런것이여요.,교과서만의 장점이 있다고 느껴서 그런 것이에요.,,
난 예전에 그거 깨닫구 놀랬자나,난 예전에 그거 깨닫고 놀랬잖아.,,
자기들 가족이 눈앞에서 코로나걸랴서 죽고이래야 긴장감가지랴나.,자기들 가족이 눈앞에서 코로나 걸려서 죽고 이래야 긴장감 가지려나.,,
결석보다는 조퇴가그저마 괜찮지,결석보다는 조퇴가 그나마 괜찮지.,,
지금하는 공부로 대학이 바뀔수있다 믿구 열심히 할게요!,지금 하는 공부로 대학이 바뀔 수 있다 믿고 열심히 할게요!,,
아님 과 바꾸구싶어요.,아니면 과 바꾸고 싶어요.,,
현존라는 최구의 논술이니 아무래도그죠,현존하는 최고의 논술이니 아무래도 그렇죠.,,
제 주위 친구들은 선생님의 언어와 작문 강의 들었습니다.,제 주위 친구들은 선생님의 언어와 작문 강의를 들었습니다.,,
나 다음주 월요일부터 학교 게속 나오게 됐어요.,나 다음 주 월요일부터 학교 계속 나오게 됐어요.,,
저게 어째서 평균값이돼는지 잘이해가안되요.,저게 어째서 평균값이 되는지 잘 이해가 안 돼요.,,
믿었던 국어수학에 발등을 찍혀버렸네요.,믿었던 국어 수학에 발등을 찍혀버렸네요.,,
뭔가 썰 끝나자마자 약학부로 바꾸신거 멋있으시네요,뭔가 썰 끝나자마자 약학부로 바꾸신 거 멋있으시네요.,,
마스터님 이야기 재밌게하시네요,마스터님 이야기 재미있게 하시네요.,,
현역이다보니 조금 조심스럽내요.,현역이다 보니 조금 조심스럽네요.,,
근대 정말 푸앙푸앙 하고 울것 같아요,근데 정말 푸앙푸앙 하고 울 것 같아요.,,
이러케 글쓴이가 도덕적 운을 부정하는과정을 재스스로풀어써봤다.,이렇게 글쓴이가 도덕적 운을 부정하는 과정을 제 스스로 풀어써봤다.,,
초월적공간에서의 내용 등 출제포인트에서는 집중하며 익으라고 하셨어요,초월적 공간에서의 내용 등 출제 포인트에서는 집중하며 읽으라고 하셨어요,,
시험떄 종이 다 넣으라고하시잖아요!,시험 때 종이를 다 넣으라고 하시잖아요!,,
작용 반작용은 가튼 힘으로 작용돼는것은이해가 갔는데...,작용 반작용은 같은 힘으로 작용되는 것은 이해가 갔는데...,,
"당장 배운 것 점검하려면, 미분법까지만이라도 끝내놓고 들어가는게 나을 수 있습나다.","당장 배운 것 점검하려면, 미분법까지만이라도 끝내놓고 들어가는 게 나을 수 있습니다.",,
그 친구의 친구들에게 연락도 해보구 하면서 확실해졌구요.,그 친구의 친구들에게 연락도 해보고 하면서 확실해졌고요.,,
여름 수두 상경과 겨울수두 대도를 세웠다고...,여름 수도 상경과 겨울 수도 대도를 세웠다고...,,
조은 말 꽉꽉 담아 이야기해주셔서 고마워요,좋은 말 꽉꽉 담아 이야기해 주셔서 고마워요.,,
내년에 저의 도움이 필요하실 떄 언제든 찾아 오세요!,내년에 저의 도움이 필요하실 때 언제든 찾아오세요!,,
저는 급하게하느라 진짜 암기가 힘들엇는데요,저는 급하게 하느라 진짜 암기가 힘들었는데요.,,
기본 강의라고 생각하시면 절대절대 안됩니다,기본 강의라고 생각하시면 절대 절대 안 됩니다.,,
진짜어쩌다 저 지경까지갔을까?,진짜 어쩌다 저 지경까지 갔을까?,,
물구나무 과제는 또 처음들어보는대요?,물구나무 과제는 또 처음 들어보는데요?,,
"허둥지둥하느라 퀄리티를 떨어질 수 있습니디만, 분명 도움이 될 거에요!","허둥지둥하느라 퀄리티를 떨어질 수 있습니다만, 분명 도움이 될 거예요!",,
아침을 먹어야 머리가 쫌 쌩쌩 돌아가는 거 같더라구요,아침을 먹어야 머리가 좀 쌩쌩 돌아가는 거 같더라고요.,,
"호족 세력이 강하면, 과거재가 자리를 잡지못하는이유가 궁금함니다.","호족 세력이 강하면, 과거제가 자리를 잡지 못하는 이유가 궁금합니다.",,
모의고사 시즌에는 어려운 문제들은 따로 노트를 만들어서 풀이법이랑 사고의 흐름 등을 정리했습나다,모의고사 시즌에는 어려운 문제들은 따로 노트를 만들어서 풀이법이랑 사고의 흐름 등을 정리했습니다.,,
저도 연주회 가려구했었는데 하필 코으로나가 터지는바람에 못갔어요,저도 연주회 가려고 했었는데 하필 코로나가 터지는 바람에 못 갔어요.,,
장점도 있긴한데 할수 있으면 집밥먹구 공부하세요,장점도 있긴 한데 할 수 있으면 집 밥 먹고 공부하세요.,,
표현을 잘생각하구 의식하면서 읽으려고 노력하구있씁니다.,표현을 잘 생각하고 의식하면서 읽으려고 노력하고 있습니다.,,
본연의 자태를 배우지 못하면 죽겟다구 나와있짆아용,본연의 자태를 배우지 못하면 죽겠다고 나와있잖아요.,,
하늕데 그러면 베이징 조약에관한 선지로 톈진 조약에관한 선지가와도되나요?,하는데 그러면 베이징 조약에 관한 선지로 톈진 조약에 관한 선지가 와도 되나요?,,
하셧는데 그문재가뭔지 궁금해요.,하셨는데 그 문제가 뭔지 궁금해요.,,
담엔 더 좋은 컨텐츠로 돌아올게요,담엔 더 좋은 콘텐츠로 돌아올게요.,,
저는 현역정시로 카이스트를 꿈꾸고있습나다!,저는 현역 정시로 카이스트를 꿈꾸고 있습니다!,,
거기에 맞춰서 동선을 새으로 생각해봐야지,거기에 맞춰서 동선을 새로 생각해 봐야지.,,
동문으로 들어오시길 기대할게요,동문으로 들어오시길 기대할게요.,,
점점 책상에 앉아있는 시간이 늘어나욬,점점 책상에 앉아있는 시간이 늘어나요.,,
유형믄재집도 같이 병행수까요?,유형 문제집도 같이 병행할까요?,,
마지막문단에 주파스변형이생긴다.,마지막 문단에 주파수 변형이 생긴다.,,
언어와 매체 강이 진행하신다면 언재부터허시저요?,언어와 매체 강의 진행하신다면 언제부터 하시나요?,,
선생님이 강이 올리시면 바로 그날에다들어서 금방 끗났어요!,선생님이 강의 올리시면 바로 그날에 다 들어서 금방 끝났어요!,,
글고인권과기본권이함께 쓰이던데 같은 의미로쓰이는건지도 궁금함미다!,그리고 인권과 기본권이 함께 쓰이던데 같은 의미로 쓰이는 건지도 궁금합니다!,,
하루에얼만큼씩 푸는게 좋을까요?,하루에 얼마큼씩 푸는 게 좋을까요?,,
비판적인거밖에 생각이 안나,비판적인 거밖에 생각이 안 나.,,
동기부여가 딲 필요한시점이었는데 진찌 동기부여 가득 되니요!,동기부여가 딱 필요한 시점이었는데 진짜 동기부여 가득 되네요!,,
특히 좋은고등학교니까 다른 학교 애들이랑은 비교도 안되구요.,특히 좋은 고등학교니까 다른 학교 애들이랑은 비교도 안되고요.,,
"세계화가돼면 연합, 협동 등을통해 경제적 존립을 도모하구 도와줄수잇지않나요.","세계화가 되면 연합, 협동 등을 통해 경제적 존립을 도모하고 도와줄 수 있지 않나요.",,
는 안나와잇는데 상관이없는건가여?,는 안 나와 있는데 상관이 없는 건가요?,,
진짜 넘 깔끔하고 명료하니요.,진짜 너무 깔끔하고 명료하네요.,,
답의 근거는 늘 꼼꼼이 찾도록 연습하셔요,답의 근거는 늘 꼼꼼히 찾도록 연습하셔요.,,
이믄재에서답을 찾을수없씁니다.,이 문제에서 답을 찾을 수 없습니다.,,
아무래도 들어야하는 학점이 마나지기는 하죠!,아무래도 들어야 하는 학점이 많아지기는 하죠!,,
"선생님이 잡으라구하신 구간은 다 잡았는데, 잡은이유가쫌 달라요..","선생님이 잡으라고 하신 구간은 다 잡았는데, 잡은 이유가 좀 달라요..",,
이재이 이후에는 늦게 일어나지않는한 꼬옥이시간대졸려요.,이제 이 이후에는 늦게 일어나지 않는 한 꼭 이 시간대 졸려요.,,
지문을시엄에나올 법한다른유형으로바꿔서 예상해보았어요.,지문을 시험에 나올 법한 다른 유형으로 바꿔서 예상해 보았어요.,,
하셧는데 보통 저항이많을수록 전류의세기가 줄어드는이유는전압까지 일정하고 때문인가요?,하셨는데 보통 저항이 많을수록 전류의 세기가 줄어드는 이유는 전압까지 일정하고 때문인가요?,,
자신이 선택한게 아니구 순응한 것이 아닌가,자신이 선택한 게 아니고 순응한 것이 아닌가?,,
다른 어려운 것들도 언젠가는 돌아보면서 벌써 이만큼이나 배웠다구 하게 될거에요,다른 어려운 것들도 언젠가는 돌아보면서 벌써 이만큼이나 배웠다고 하게 될 거예요.,,
월간지로 기출분석 하듯이 해도 되나요?,월간지로 기출분석하듯이 해도 되나요?,,
어쩌다보니손이 움직이는대로 써진거요!,어쩌다 보니 손이 움직이는 대로 써진 거요!,,
이런 시민들이 용기를 잃지 않도록 연대하구 응원할 필요가 잇다.,이런 시민들이 용기를 잃지 않도록 연대하고 응원할 필요가 있다.,,
지뮨을 먼저 예습할때 시간의 제약을 받고 현장에서처럼 일거보는것이 좋을까요?,지문을 먼저 예습할 때 시간의 제약을 받고 현장에서처럼 읽어 보는 것이 좋을까요?,,
근데 그럿게되면이미가너무 달라져요.,그런데 그렇게 되면 의미가 너무 달라져요.,,
새벽공부 집중 안될띠는 인터넷이 참 조은디 말이야...,새벽 공부 집중 안 될 때는 인터넷이 참 좋은데 말이야.,,
그럼이때는 불연속일수도있는꺼예요?,그럼 이때는 불연속일 수도 있는 거예요?,,
화장실을 다녀올수있나요?,화장실을 다녀올 수 있나요?,,
강이를 듣다가 왜 다른나라들이 발해를 그들의 역사라구 우기는지 의문이생겼어요.,강의를 듣다가 왜 다른 나라들이 발해를 그들의 역사라고 우기는지 의문이 생겼어요.,,
근데 원래 풀이는 미분으로 푸는게 출제자 의도였나봐요,근데 원래 풀이는 미분으로 푸는 게 출제자의 의도였나 봐요.,,
